Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
10123,2,1,,,,,,,0.86162,,,,,
10203,2,2,,,-0.30551,-1.17724,0.47347,0.66181,-1.92112,0.39767,1.01340,-0.72406,,
40193,1,2,,,1.53818,0.91754,1.56668,-0.38781,-0.31016,-0.97973,-1.20573,-1.71144,,
20155,2,1,,,,1.72323,,-1.07410,,3.15246,,-0.50464,,
678,1,2,,,-0.30551,1.56209,-0.07313,-0.50892,0.58213,-0.52059,,-0.26328,,
20137,1,1,,,0.61634,0.27299,-1.71295,-0.22633,-1.22266,3.15246,-1.20573,1.00386,,
40108,1,2,,,0.61634,0.91754,-0.61974,-0.02448,-0.42344,-0.97973,1.56818,-1.71144,,
13513,2,1,,2.07826,-0.30551,0.27299,-0.61974,-0.22633,0.86162,-0.97973,-2.03790,0.46080,,
6592,1,2,-0.37169,-0.34255,0.61634,0.11185,0.47347,-0.10522,0.86162,0.39767,1.01340,1.10443,,
10163,2,1,-0.30459,-0.14258,-0.30551,-0.21042,-2.25955,-0.06485,0.86162,1.31593,-0.65095,-0.80634,,
10176,1,1,-0.27987,-0.26917,-0.30551,-0.04928,-0.61974,-0.18596,-0.44792,-0.52059,-0.92834,-0.98736,,
10327,1,2,0.92426,0.47082,-1.22735,2.04550,0.47347,-1.19520,-1.87928,-0.97973,-0.37356,-0.98736,,
20101,2,1,-0.46633,-0.44675,0.61634,0.43413,-0.61974,-0.38781,-1.22266,0.85680,-0.09617,0.09876,,
20131,2,1,0.00043,-0.18622,0.61634,0.27299,1.56668,-0.10522,-1.92767,-0.52059,0.18122,1.90896,,
20141,2,1,-0.44726,-0.34768,1.53818,0.27299,-0.07313,-0.34744,-1.22266,0.39767,-1.20573,0.35736,,
22093,1,1,0.98588,0.44486,1.53818,-0.04928,-1.71295,-0.14559,-1.22266,-0.97973,,-0.74600,,
23629,2,1,-0.31635,0.05119,-0.30551,0.59527,-0.61974,-0.38781,-1.22266,-0.97973,-1.48312,-0.98736,,
30058,2,2,1.88177,0.68468,1.53818,-1.17724,0.47347,0.25811,0.34817,1.31593,0.45861,-0.80634,,
30129,2,2,-0.12527,-0.08118,-1.22735,1.72323,0.47347,-0.58966,0.86162,-0.97973,-0.92834,-1.40974,,
30287,2,2,0.29866,0.27696,1.53818,-1.17724,1.02008,0.54070,-1.22266,1.77506,0.73601,1.90896,,
30297,2,2,-0.14743,0.17395,-1.22735,1.40095,0.47347,-0.95299,0.86162,-0.97973,-0.65095,0.92158,,
30315,2,2,-0.12403,-0.11495,1.53818,-0.53269,0.47347,0.45996,0.54854,2.23419,-0.37356,-0.80634,,
40162,1,1,-0.38478,-0.32507,1.53818,-0.69383,1.56668,0.45996,-1.22266,-0.52059,-0.92834,0.46080,,
40214,1,2,-0.32754,-0.30404,-1.22735,-0.85497,0.47347,0.21774,0.41249,0.85680,-0.65095,-0.50464,,
40133,1,2,-0.30768,-0.27561,1.53818,-0.21042,-0.07313,0.13700,-1.22266,0.39767,-0.09617,-0.04048,,
30306,2,2,-0.70506,-0.54024,0.61634,-0.69383,0.47347,0.50033,-1.89664,-0.97973,0.73601,1.45641,,
20139,2,1,0.40898,0.34959,1.53818,-0.85497,0.47347,0.70218,0.50044,-0.52059,0.18122,1.00386,,
20117,2,1,-0.13513,0.02332,1.53818,-0.69383,1.56668,0.78292,0.86162,-0.97973,-0.09617,0.09876,,
7126,1,1,0.06768,-0.01008,1.53818,-1.82179,-0.61974,0.58107,0.86162,-0.52059,-2.03790,0.70216,,
20037,2,1,-0.10184,-0.19386,0.61634,-1.49952,0.47347,0.54070,-0.34602,-0.97973,1.01340,1.90896,,
30299,2,2,-2.07474,-1.66662,0.61634,-1.33838,-0.61974,0.37922,0.70821,-0.52059,-0.37356,1.90896,,
30203,2,2,0.66005,0.05368,-1.22735,1.07868,-0.07313,-0.54929,-1.47967,0.85680,2.12296,0.09876,,
40209,1,1,0.02073,-0.02915,1.53818,0.27299,0.47347,0.05626,0.29267,2.69332,-0.37356,1.00386,,
10092,1,2,-0.13201,-0.18434,-1.22735,0.75640,0.47347,-0.30707,0.68260,1.31593,,-0.26328,,
13597,2,1,-0.38054,-0.37428,0.61634,0.75640,-0.07313,-0.30707,0.86162,0.39767,1.01340,-0.80634,,
10063,1,2,0.18411,0.17351,0.61634,-1.49952,1.56668,0.45996,,-0.97973,,1.90896,,
7174,1,1,-0.55100,-0.48812,-1.22735,0.27299,-0.61974,-0.06485,0.82121,-0.97973,-1.76051,1.90896,,
13243,2,1,-0.42324,-0.35729,0.61634,-0.37156,0.47347,0.41959,0.86162,-0.97973,-0.37356,-0.35379,,
11638,1,1,-0.48415,-0.37946,-1.22735,1.23982,1.02008,-0.58966,-1.22266,1.31593,-1.20573,0.09876,,
8587,1,1,-0.11729,-0.00920,1.53818,0.11185,0.47347,0.25811,0.65613,-0.97973,0.45861,-0.50464,,
40178,1,1,-0.58385,-0.47268,0.61634,0.59527,0.47347,-0.14559,-1.75433,-0.06146,0.73601,-0.80634,,
30311,2,1,0.16724,0.16763,-1.22735,1.40095,-2.80616,-0.50892,-1.61544,-0.97973,1.29079,-1.71144,,
10324,1,2,0.13919,-0.06819,0.61634,-0.04928,-0.07313,0.25811,0.86162,-0.97973,0.45861,1.60726,,
20314,2,1,1.00113,2.02969,1.53818,0.27299,-1.16634,-0.22633,0.86162,-0.97973,2.12296,1.25071,,
22096,1,1,1.79509,0.88617,1.53818,0.27299,-0.61974,-0.06485,0.86162,-0.97973,,-0.74600,,
20656,2,1,0.67788,0.40723,1.53818,-1.17724,2.11329,0.25811,0.86162,-0.97973,-1.48312,,,
20135,2,1,-0.12017,-0.16999,1.53818,-0.37156,1.02008,0.13700,0.86162,-0.52059,1.01340,1.50670,,
30268,2,2,-0.29879,-0.27824,1.53818,-0.53269,0.47347,0.54070,-1.22266,-0.97973,1.56818,1.90896,,
20124,2,1,1.04263,0.99713,0.61634,-1.33838,1.02008,0.58107,0.70821,-0.97973,0.45861,0.82284,,
30276,2,2,-0.11074,-0.18195,-0.30551,-0.04928,-0.07313,0.13700,-0.45987,-0.52059,0.73601,0.09876,,
302744,2,2,0.17373,0.09271,0.61634,-0.69383,-0.07313,0.01589,-0.79516,-0.52059,,-0.26328,,
20111,2,1,0.09000,-0.05431,-0.30551,1.07868,-0.61974,-0.22633,-0.81793,-0.06146,-0.65095,-0.50464,,
40195,1,2,-0.15717,-0.33137,-0.30551,1.40095,0.47347,-0.38781,-1.87217,-0.06146,-0.65095,1.90896,,
30071,2,2,-0.15141,-0.12059,-1.22735,1.88437,-0.07313,-0.79151,-0.62609,0.85680,-0.65095,-0.80634,,
13936,1,1,3.07168,2.53208,0.61634,-0.69383,-0.07313,0.09663,0.28669,-0.97973,-0.37356,1.90896,,
4321,1,2,0.12345,0.09087,-1.22735,-0.21042,0.47347,-0.06485,0.86162,0.85680,-0.37356,-0.50464,,
20112,2,1,-0.57057,-0.50255,-1.22735,1.23982,-1.16634,-0.71077,0.86162,1.77506,0.18122,1.18488,,
20153,2,1,-0.42992,-0.35447,1.53818,-0.37156,1.56668,0.05626,-1.51127,-0.97973,-0.92834,1.50670,,
20317,1,1,0.48828,1.77903,0.61634,1.72323,-2.80616,0.13700,-1.92767,-0.97973,1.56818,-0.50464,,
30115,2,2,,,-1.22735,0.27299,-0.61974,0.01589,0.82889,-0.97973,,-1.22872,0.26612,
4279,1,2,-2.10776,-1.65209,-1.22735,0.91754,-0.61974,-0.30707,0.86162,1.31593,0.18122,-1.71144,0.68073,
23428,1,1,-0.18846,-0.17344,1.53818,-0.37156,0.47347,0.21774,0.73013,-0.06146,-0.37356,,1.87323,
7294,1,1,-0.52776,-0.44111,-0.30551,-0.53269,0.47347,0.29848,-1.22266,0.39767,-0.09617,0.09876,1.58763,
30173,2,2,0.36718,-0.03382,-1.22735,-2.14407,-0.07313,0.62144,0.86162,1.31593,-1.48312,-0.26328,1.58763,
30318,2,2,-0.65658,-0.52037,1.53818,-0.53269,-0.07313,0.09663,0.86162,-0.52059,-0.37356,1.90896,1.15111,
301766,2,2,0.43657,0.61263,-0.30551,-0.37156,-0.07313,-0.10522,-1.88184,-0.97973,,0.09876,,1.52926
101552,2,2,-0.45360,-0.41473,0.61634,0.11185,0.47347,0.13700,-0.40665,0.39767,1.29079,1.00386,,-0.88593
30135,2,2,-0.28247,-0.24000,1.53818,-0.69383,-0.07313,0.37922,0.86162,-0.06146,1.56818,0.70216,,0.11715
20116,2,1,0.34748,0.36856,-1.22735,1.40095,-0.61974,-0.30707,-1.92767,1.77506,-0.37356,-0.80634,,0.21749
